timestamp,usuario,fecha_publicacion,contenido,respuestas,retweets,likes,guardados,vistas
2025-07-09 07:18:21,Interbank,2025-04-16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,66,0,7,3,11000
2025-07-09 07:18:21,Interbank,2024-10-07,Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱,65,1,25,2,97000
2025-07-09 07:18:21,Interbank,2024-08-29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻 ✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37000
2025-07-09 07:18:21,Interbank,2024-08-05,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30000
2025-07-09 07:18:21,Interbank,2024-07-27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet. 💻 ✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26000
2025-07-09 07:18:21,Interbank,2024-07-22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21000
2025-07-09 07:18:21,Interbank,2024-06-06,"👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17000
2025-07-09 07:18:21,Interbank,2024-05-04,"👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI. Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22000
2025-07-09 07:18:21,Interbank,2024-03-27,"Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16000
2025-07-09 07:18:21,Interbank,2024-03-26,"#OrgulloInterbank ¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 ¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10000
2025-07-09 07:18:21,Interbank,2024-03-21,#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. #PremiosLEC,2,0,8,0,5000
